name,norad_id,tle_line1,tle_line2,epoch,category
CALSPHERE 1,00900,1 00900U 64063C   25344.23755797  .00001036  00000+0  10489-2 0  9994,2 00900  90.2212  67.4000 0027462 143.1861 271.2842 13.76363237 45432,2025-12-10 05:42:05.008608,other
CALSPHERE 2,00902,1 00902U 64063E   25344.28611517  .00000094  00000+0  12847-3 0  9996,2 00902  90.2361  71.3424 0020145  59.2885   4.0799 13.52882590830726,2025-12-10 06:52:00.350688,other
LCS 1,01361,1 01361U 65034C   25344.24223956  .00000016  00000+0  10394-2 0  9995,2 01361  32.1418 265.6544 0013483 173.7786 186.2880  9.89309527191176,2025-12-10 05:48:49.497984,other
TEMPSAT 1,01512,1 01512U 65065E   25344.14999278  .00000063  00000+0  10623-3 0  9991,2 01512  89.9882 212.6711 0071218  60.2367  59.8157 13.33581976934858,2025-12-10 03:35:59.376192,other
CALSPHERE 4A,01520,1 01520U 65065H   25344.17705530  .00000167  00000+0  30444-3 0  9997,2 01520  89.9095 124.2631 0068168 277.0003 258.1663 13.36238866937463,2025-12-10 04:14:57.577920,other
OPS 5712 (P/L 160),02826,1 02826U 67053A   25344.26262657  .00015958  00000+0  24204-2 0  9994,2 02826  69.9176 140.2021 0005337 290.4172  69.6400 14.74164224 38350,2025-12-10 06:18:10.935648,other
LES-5,02866,1 02866U 67066E   25344.31293139 -.00000104  00000+0  00000+0 0  9990,2 02866   2.1881 102.5654 0056329 200.1673 150.2248  1.09426061128968,2025-12-10 07:30:37.272096,other
SURCAL 159,02872,1 02872U 67053F   25344.19479364  .00000158  00000+0  14527-3 0  9996,2 02872  69.9754  47.7779 0007389 336.2342  23.8423 13.99542089983767,2025-12-10 04:40:30.170496,other
OPS 5712 (P/L 153),02874,1 02874U 67053H   25343.78625310  .00000117  00000+0  12248-3 0  9999,2 02874  69.9723 161.2620 0004448  76.9312 283.2290 13.96791079980336,2025-12-09 18:52:12.267840,other
OPS 3811 (DSP 2),05204,1 05204U 71039A   25344.10322657 -.00000019  00000+0  00000+0 0  9994,2 05204   0.3187 315.5086 0024685 329.5197 239.4711  0.98159716204370,2025-12-10 02:28:38.775648,other
